domain,relationship_stage,vertical_tag,is_self,exclude_from_crm,crm_status
zop.dev,customer,internal,1,1,existing_customer
tataconsumer.com,customer,cpg,0,0,existing_customer
coca-colaindia.com,customer,cpg,0,0,existing_customer
diageoindia.com,customer,cpg,0,0,existing_customer
tatadigital.com,poc,cpg,0,0,existing_lead
condenast.com,poc,media,0,0,existing_lead
hul.co.in,unknown,cpg,0,0,new
pepsicoindia.co.in,unknown,cpg,0,0,new
britannia.co.in,unknown,cpg,0,0,new
dabur.com,unknown,cpg,0,0,new
marico.com,unknown,cpg,0,0,new
godrejcp.com,unknown,cpg,0,0,new
nestle.in,unknown,cpg,0,0,new
itcportal.com,unknown,cpg,0,0,new
relianceretail.com,unknown,retail,0,0,new
bigbasket.com,unknown,retail,0,0,new
swiggy.com,unknown,retail,0,0,new
zomato.com,unknown,retail,0,0,new
nykaa.com,unknown,retail,0,0,new
