company_name,domain,source_type,country,region_group,industry_label,website_url,wikidata_id,sitelinks,revenue_usd,employees,ranking_score,data_source,last_refreshed_on
PepsiCo,pepsico.com,seed,United States,us,fast-moving consumer goods,https://www.pepsico.com/,Q334800,65,91854000000.0,309000,61.8695,wikidata,2026-02-18
The Coca-Cola Company,coca-colacompany.com,seed,United States,us,fast-moving consumer goods,https://www.coca-colacompany.com/,Q3295867,73,47061000000.0,69700,61.0813,wikidata,2026-02-18
Procter & Gamble,pg.com,seed,United States,us,fast-moving consumer goods,http://www.pg.com/,Q212405,62,84284000000.0,105000,60.906,wikidata,2026-02-18
Unilever,unilever.com,seed,United Kingdom,uk,fast-moving consumer goods,https://unilever.com,Q157062,65,60073000000.0,148000,59.59,wikidata,2026-02-18
Philip Morris International,pmi.com,seed,United States,us,fast-moving consumer goods,https://www.pmi.com/,Q1852556,38,31762000000.0,79800,58.0562,wikidata,2026-02-18
3M,3m.com,seed,United States,us,consumer goods industry,https://www.3m.com/,Q159433,45,34229000000.0,94987,57.7806,wikidata,2026-02-18
Kraft Heinz,kraftheinzcompany.com,seed,United States,us,fast-moving consumer goods,http://www.kraftheinzcompany.com,Q19681433,34,26485000000.0,36000,57.1102,wikidata,2026-02-18
Kellanova,kelloggcompany.com,seed,United States,us,fast-moving consumer goods,https://www.kelloggcompany.com/en_US/home.html,Q856897,39,15315000000.0,33577,57.0397,wikidata,2026-02-18
"Mars, Incorporated",mars.com,seed,United States,us,food processing,http://www.mars.com/,Q695087,46,35000000000.0,80000,55.7737,wikidata,2026-02-18
Archer Daniels Midland,adm.com,seed,United States,us,food processing,https://adm.com/,Q632694,27,101556000000.0,31600,54.5217,wikidata,2026-02-18
General Mills,generalmills.com,seed,United States,us,food industry,http://www.generalmills.com,Q629998,36,18992800000.0,35000,53.9932,wikidata,2026-02-18
Avon Products Inc.,avonworldwide.com,seed,United States,us,cosmetics industry,https://www.avonworldwide.com/,Q791285,32,5718000000.0,36700,53.7636,wikidata,2026-02-18
Nestlé,nestle.com,seed,Switzerland,europe,food industry,https://www.nestle.com/,Q160746,90,91354000000.0,270000,53.2832,wikidata,2026-02-18
Virgin Group,virgin.com,seed,United Kingdom,uk,food industry,http://www.virgin.com,Q494917,42,16600000000.0,69000,53.2806,wikidata,2026-02-18
British American Tobacco,bat.com,seed,United Kingdom,uk,tobacco industry,https://bat.com,Q856411,37,25776000000.0,55000,53.0867,wikidata,2026-02-18
Bunge Limited,bunge.com,seed,United States,us,food industry,http://www.bunge.com/,Q1009458,15,67232000000.0,22706,53.0383,wikidata,2026-02-18
Diageo,diageo.com,seed,United Kingdom,uk,beverage industry,http://www.diageo.com,Q161140,40,28270000000.0,29860,53.0275,wikidata,2026-02-18
Altria,altria.com,seed,United States,us,food industry,http://www.altria.com,Q445007,30,24018000000.0,9900,52.9289,wikidata,2026-02-18
SABMiller,sabmiller.com,seed,United Kingdom,uk,brewery,http://www.sabmiller.com/,Q4995,33,15300000000.0,70000,52.5056,wikidata,2026-02-18
L'Oréal,loreal.com,seed,France,europe,fast-moving consumer goods,http://www.loreal.com,Q156077,58,41182500000.0,88000,52.4188,wikidata,2026-02-18
Herbalife,iamherbalifenutrition.com,seed,United States,us,food industry,https://iamherbalifenutrition.com,Q572948,34,4890000000.0,7800,51.8598,wikidata,2026-02-18
Danone,danone.com,seed,France,europe,fast-moving consumer goods,https://www.danone.com/,Q329426,50,27619000000.0,98105,51.5325,wikidata,2026-02-18
Arla Foods,arla.com,seed,United Kingdom,uk,food industry,https://www.arla.com,Q674575,28,11200000000.0,20020,51.1007,wikidata,2026-02-18
Simplot,simplot.com,seed,United States,us,food industry,https://simplot.com,Q3484788,9,11000000000.0,13000,50.8041,wikidata,2026-02-18
Coca-Cola Europacific Partners,cocacolaep.com,seed,United Kingdom,uk,beverage industry,https://www.cocacolaep.com/,Q20811256,11,20438000000.0,41000,50.6467,wikidata,2026-02-18
Colgate-Palmolive Company,colgatepalmolive.com,seed,United States,us,personal care product,http://www.colgatepalmolive.com/,Q609466,46,17967000000.0,0,49.3881,wikidata,2026-02-18
Schwarz Gruppe,gruppe.schwarz,seed,Germany,europe,food industry,https://gruppe.schwarz/,Q712034,16,175400000000.0,442000,48.1728,wikidata,2026-02-18
Mondelez International,mondelezinternational.com,seed,United States,us,food industry,https://www.mondelezinternational.com/,Q12857502,36,31496000000.0,0,48.0269,wikidata,2026-02-18
Kimberly-Clark,kimberly-clark.com,seed,United States,us,personal care product,https://www.kimberly-clark.com/ar-sa/,Q1741634,26,20175000000.0,0,47.8787,wikidata,2026-02-18
Estée Lauder Companies,elcompanies.com,seed,United States,us,cosmetics industry,http://www.elcompanies.com/,Q1260606,24,17737000000.0,0,47.618,wikidata,2026-02-18
Hormel,hormel.com,seed,United States,us,food processing,http://www.hormel.com/,Q1454852,36,12458806000.0,0,47.3019,wikidata,2026-02-18
Ferrero SpA,ferrero.com.cn,seed,Italy,europe,food industry,https://www.ferrero.com.cn,Q269792,43,19000000000.0,47212,47.2354,wikidata,2026-02-18
Ferrero SpA,ferrero.com.tw,seed,Italy,europe,food industry,https://www.ferrero.com.tw,Q269792,43,19000000000.0,47212,47.2354,wikidata,2026-02-18
Ferrero SpA,ferrero.com,seed,Italy,europe,food industry,https://www.ferrero.com/,Q269792,43,19000000000.0,47212,47.2354,wikidata,2026-02-18
Nature's Sunshine Products,naturessunshine.com,seed,United States,us,personal care product,https://www.naturessunshine.com,Q4045079,6,324705000.0,901,47.188,wikidata,2026-02-18
Nissin Food Products,nissin.com,seed,Japan,apac,food industry,https://www.nissin.com/,Q53293,29,204710000000.0,7408,46.8477,wikidata,2026-02-18
The Hershey Company,thehersheycompany.com,seed,United States,us,"manufacture of cocoa, chocolate and sugar confectionery",https://www.thehersheycompany.com/en_us/home.html,Q1056637,30,10419294000.0,0,46.6821,wikidata,2026-02-18
Beiersdorf,beiersdorf.com,seed,Germany,europe,cosmetics industry,https://www.beiersdorf.com,Q201691,31,9447000000.0,21743,46.2578,wikidata,2026-02-18
CHS Inc.,chsinc.com,seed,United States,us,food industry,http://www.chsinc.com,Q5011381,10,38448033000.0,0,46.1028,wikidata,2026-02-18
Pernod Ricard,pernod-ricard.com,seed,France,europe,food and tobacco industry,http://pernod-ricard.com/,Q837049,37,11598000000.0,18421,45.7974,wikidata,2026-02-18
Dr Pepper Snapple Group,drpeppersnapplegroup.com,seed,United States,us,beverage industry,http://www.drpeppersnapplegroup.com/,Q1254149,14,14057000000.0,0,45.6362,wikidata,2026-02-18
Bath & Body Works,bathandbodyworks.com,seed,United States,us,cosmetics industry,https://www.bathandbodyworks.com,Q810773,7,2300000000.0,0,44.6611,wikidata,2026-02-18
Stock Spirits Group,stockspirits.com,seed,United Kingdom,uk,beverage industry,http://www.stockspirits.com/,Q17489012,5,274601000.0,980,44.528,wikidata,2026-02-18
Haribo,haribo.com,seed,Germany,europe,confectionery industry,https://www.haribo.com,Q169552,40,2889000000.0,7000,44.3626,wikidata,2026-02-18
The Ordinary,theordinary.com,seed,United Kingdom,uk,cosmetics industry,https://theordinary.com/en-de,Q126595227,0,15910000000.0,0,44.113,wikidata,2026-02-18
Südzucker,suedzuckergroup.com,seed,Germany,europe,food and tobacco industry,https://www.suedzuckergroup.com/,Q474565,13,9694000000.0,18459,43.7384,wikidata,2026-02-18
Dr. Oetker,oetker.de,seed,Germany,europe,food industry,https://www.oetker.de/,Q688668,24,2930000000.0,11617,43.4015,wikidata,2026-02-18
Dr. Oetker,oetker-gruppe.de,seed,Germany,europe,food industry,https://oetker-gruppe.de,Q688668,24,2930000000.0,11617,43.4015,wikidata,2026-02-18
Dr. Oetker,oetker.com,seed,Germany,europe,food industry,https://oetker.com,Q688668,24,2930000000.0,11617,43.4015,wikidata,2026-02-18
Tchibo,tchibo.com,seed,Germany,europe,food industry,https://www.tchibo.com/,Q564213,19,3400000000.0,12000,43.1376,wikidata,2026-02-18
China Feihe,feihe.com,seed,China,apac,dairy industry,http://www.feihe.com/,Q97348109,2,22770000000.0,9140,43.0986,wikidata,2026-02-18
Douglas Holding,douglas.de,seed,Germany,europe,cosmetics industry,https://www.douglas.de/,Q2052213,4,2795000000.0,20000,43.095,wikidata,2026-02-18
Douglas Holding,douglas.it,seed,Germany,europe,cosmetics industry,https://www.douglas.it,Q2052213,4,2795000000.0,20000,43.095,wikidata,2026-02-18
Douglas Holding,douglas.nl,seed,Germany,europe,cosmetics industry,https://www.douglas.nl,Q2052213,4,2795000000.0,20000,43.095,wikidata,2026-02-18
Douglas Holding,douglas.pl,seed,Germany,europe,cosmetics industry,https://www.douglas.pl,Q2052213,4,2795000000.0,20000,43.095,wikidata,2026-02-18
Tönnies Holding,toennies.de,seed,Germany,europe,food industry,http://www.toennies.de,Q2464046,6,7300000000.0,19640,42.9944,wikidata,2026-02-18
Bright Food,brightfood.com,seed,China,apac,fast-moving consumer goods,http://www.brightfood.com/,Q2925357,11,158007520000.0,0,42.7876,wikidata,2026-02-18
Lekkerland,lekkerland.com,seed,Germany,europe,stimulant foodstuff,https://www.lekkerland.com/,Q1816527,4,13003000000.0,4801,42.4293,wikidata,2026-02-18
Lekkerland,lekkerland.de,seed,Germany,europe,stimulant foodstuff,https://www.lekkerland.de/,Q1816527,4,13003000000.0,4801,42.4293,wikidata,2026-02-18
Almarai Company,almarai.com,seed,Saudi Arabia,gulf,food industry,https://www.almarai.com/,Q3535226,10,5366674000.0,0,42.3135,wikidata,2026-02-18
Weleda,weleda.com,seed,Switzerland,europe,cosmetics industry,http://www.weleda.com/,Q687934,18,424059000.0,2512,41.4796,wikidata,2026-02-18
COFCO Group,cofco.com,seed,China,apac,food processing,https://www.cofco.com/en,Q4382137,15,471119900000.0,0,40.9616,wikidata,2026-02-18
Ezaki Glico,glico.com,seed,Japan,apac,food industry,https://www.glico.com/jp/,Q391534,18,338571000000.0,0,40.9434,wikidata,2026-02-18
Asahi Group Holdings,asahigroup-holdings.com,seed,Japan,apac,beverage industry,http://www.asahigroup-holdings.com/,Q11283168,2,1706901000000.0,0,40.928,wikidata,2026-02-18
Europastry,europastry.com,seed,Spain,europe,food industry,https://www.europastry.com/,Q20106305,3,1506000000.0,4890,40.6752,wikidata,2026-02-18
